Date,VADATA.Death,VADATA.DeathConfirmed
2020-1-27,0,0
2020-1-28,0,0
2020-1-29,0,0
2020-1-30,0,0
2020-1-31,0,0
2020-2-1,0,0
2020-2-2,0,0
2020-2-3,0,0
2020-2-4,0,0
2020-2-5,0,0
2020-2-6,0,0
2020-2-7,0,0
2020-2-8,0,0
2020-2-9,0,0
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,1,0
2020-3-16,1,0
2020-3-17,1,0
2020-3-18,1,0
2020-3-19,2,0
2020-3-20,2,0
2020-3-21,2,0
2020-3-22,3,0
2020-3-23,6,0
2020-3-24,7,0
2020-3-25,9,0
2020-3-26,13,0
2020-3-27,14,0
2020-3-28,17,0
2020-3-29,22,0
2020-3-30,25,0
2020-3-31,27,0
2020-4-1,34,0
2020-4-2,41,0
2020-4-3,46,0
2020-4-4,52,0
2020-4-5,51,0
2020-4-6,54,0
2020-4-7,63,0
2020-4-8,75,0
2020-4-9,109,0
2020-4-10,121,0
2020-4-11,130,0
2020-4-12,141,0
2020-4-13,149,0
2020-4-14,154,0
2020-4-15,195,0
2020-4-16,208,0
2020-4-17,231,0
2020-4-18,258,0
2020-4-19,277,0
2020-4-20,300,0
2020-4-21,324,321
2020-4-22,349,347
2020-4-23,372,370
2020-4-24,410,407
2020-4-25,436,432
2020-4-26,448,444
2020-4-27,458,454
2020-4-28,492,487
2020-4-29,522,513
2020-4-30,552,543
2020-5-1,581,572
2020-5-2,616,607
2020-5-3,660,644
2020-5-4,684,662
2020-5-5,713,690
2020-5-6,713,690
2020-5-7,769,745
2020-5-8,812,787
2020-5-9,827,801
2020-5-10,839,813
2020-5-11,850,823
2020-5-12,891,864
2020-5-13,927,899
2020-5-14,955,927
2020-5-15,977,944
2020-5-16,1002,968
2020-5-17,1009,975
2020-5-18,1014,980
2020-5-19,1041,1007
2020-5-20,1074,1040
2020-5-21,1099,1064
2020-5-22,1136,1100
2020-5-23,1159,1123
2020-5-24,1171,1135
2020-5-25,1208,1158
2020-5-26,1236,1175
2020-5-27,1281,1202
2020-5-28,1338,1236
2020-5-29,1358,1258
2020-5-30,1370,1269
2020-5-31,1375,1274
2020-6-1,1392,1282
2020-6-2,1407,1300
2020-6-3,1428,1322
2020-6-4,1445,1338
2020-6-5,1453,1350
2020-6-6,1460,1357
2020-6-7,1472,1369
2020-6-8,1477,1373
2020-6-9,1496,1391
2020-6-10,1514,1408
2020-6-11,1520,1413
2020-6-12,1534,1426
2020-6-13,1541,1435
2020-6-14,1546,1438
2020-6-15,1552,1444
2020-6-16,1570,1465
2020-6-17,1583,1478
2020-6-18,1586,1482
2020-6-19,1602,1499
2020-6-20,1607,1504
2020-6-21,1611,1508
2020-6-22,1620,1517
2020-6-23,1645,1542
2020-6-24,1661,1559
2020-6-25,1675,1572
2020-6-26,1700,1596
2020-6-27,1724,1620
2020-6-28,1732,1628
2020-6-29,1740,1635
2020-6-30,1763,1658
2020-7-1,1786,1681
2020-7-2,1816,1712
2020-7-3,1845,1741
2020-7-4,1849,1745
2020-7-5,1853,1746
2020-7-6,1853,1747
2020-7-7,1881,1775
2020-7-8,1905,1799
2020-7-9,1937,1832
2020-7-10,1958,1853
2020-7-11,1962,1857
2020-7-12,1966,1859
2020-7-13,1968,1861
2020-7-14,1977,1870
2020-7-15,1992,1882
2020-7-16,2007,1903
2020-7-17,2013,1909
2020-7-18,2025,1921
2020-7-19,2027,1923
2020-7-20,2031,1927
2020-7-21,2048,1945
2020-7-22,2051,1948
2020-7-23,2054,1951
2020-7-24,2067,1964
2020-7-25,2075,1972
2020-7-26,2078,1975
2020-7-27,2082,1978
2020-7-28,2095,1991
2020-7-29,2125,2020
2020-7-30,2141,2035
2020-7-31,2174,2067
2020-8-1,2215,2105
2020-8-2,2218,2108
2020-8-3,2218,2108
2020-8-4,2244,2134
2020-8-5,2274,2164
2020-8-6,2299,2191
2020-8-7,2317,2208
2020-8-8,2322,2211
2020-8-9,2326,2214
2020-8-10,2327,2215
2020-8-11,2344,2232
2020-8-12,2352,2238
2020-8-13,2363,2248
2020-8-14,2370,2255
2020-8-15,2381,2265
2020-8-16,2381,2266
2020-8-17,2385,2268
2020-8-18,2396,2278
2020-8-19,2410,2293
2020-8-20,2427,2310
2020-8-21,2436,2319
2020-8-22,2443,2324
2020-8-23,2467,2348
2020-8-24,2471,2352
2020-8-25,2494,2370
2020-8-26,2515,2382
2020-8-27,2515,2382
2020-8-28,2550,2417
2020-8-29,2568,2435
2020-8-30,2569,2436
2020-8-31,2580,2447
2020-9-1,2612,2479
2020-9-2,2641,2508
2020-9-3,2652,2519
2020-9-4,2662,2529
2020-9-5,2677,2544
2020-9-6,2678,2545
2020-9-7,2684,2551
2020-9-8,2686,2553
2020-9-9,2697,2564
2020-9-10,2708,2575
2020-9-11,2711,2578
2020-9-12,2722,2589
2020-9-13,2724,2591
2020-9-14,2743,2607
2020-9-15,2839,2691
2020-9-16,2884,2711
2020-9-17,2920,2734
2020-9-18,2949,2755
2020-9-19,2990,2787
2020-9-20,3015,2811
2020-9-21,3021,2816
2020-9-22,3060,2853
2020-9-23,3089,2882
2020-9-24,3113,2907
2020-9-25,3136,2930
2020-9-26,3144,2937
2020-9-27,3159,2951
2020-9-28,3172,2962
2020-9-29,3187,2976
2020-9-30,3208,2995
2020-10-1,3228,3015
2020-10-2,3250,3037
2020-10-3,3270,3057
2020-10-4,3273,3060
2020-10-5,3276,3063
2020-10-6,3291,3077
2020-10-7,3303,3088
2020-10-8,3328,3097
2020-10-9,3344,3110
2020-10-10,3354,3116
2020-10-11,3358,3120
2020-10-12,3361,3122
2020-10-13,3372,3132
2020-10-14,3381,3141
2020-10-15,3388,3149
2020-10-16,3408,3161
2020-10-17,3422,3175
2020-10-18,3433,3186
2020-10-19,3457,3209
2020-10-20,3485,3236
2020-10-21,3515,3266
2020-10-22,3524,3274
2020-10-23,3539,3293
2020-10-24,3578,3328
2020-10-25,3579,3329
2020-10-26,3581,3331
2020-10-27,3600,3350
2020-10-28,3616,3364
2020-10-29,3636,3384
2020-10-30,3643,3391
2020-10-31,3654,3398
2020-11-1,3655,3399
2020-11-2,3658,3402
2020-11-3,3666,3408
2020-11-4,3677,3416
2020-11-5,3688,3426
2020-11-6,3682,3432
2020-11-7,3704,3439
2020-11-8,3707,3441
2020-11-9,3713,3447
2020-11-10,3726,3460
2020-11-11,3741,3474
2020-11-12,3758,3490
2020-11-13,3785,3513
2020-11-14,3799,3526
2020-11-15,3800,3527
2020-11-16,3806,3533
2020-11-17,3835,3557
2020-11-18,3860,3569
2020-11-19,3896,3594
2020-11-20,3912,3605
2020-11-21,3938,3628
2020-11-22,3938,3628
2020-11-23,3942,3629
2020-11-24,3979,3660
2020-11-25,4008,3679
2020-11-26,4029,3698
2020-11-27,4044,3704
2020-11-28,4054,3715
2020-11-29,4058,3719
2020-11-30,4062,3723
2020-12-1,4093,3750
2020-12-2,4113,3768
2020-12-3,4147,3798
2020-12-4,4160,3805
2020-12-5,4197,3819
2020-12-6,4200,3822
2020-12-7,4208,3829
2020-12-8,4260,3875
2020-12-9,4281,3894
2020-12-10,4335,3940
2020-12-11,4370,3973
2020-12-12,4409,4005
2020-12-13,4411,4006
2020-12-14,4414,4009
2020-12-15,4470,4058
2020-12-16,4508,4090
2020-12-17,4553,4126
2020-12-18,4598,4164
2020-12-19,4643,4184
2020-12-20,4650,4189
2020-12-21,4654,4192
2020-12-22,4705,4221
2020-12-23,4760,4251
2020-12-24,4791,4263
2020-12-25,4820,4268
2020-12-26,4840,4272
2020-12-27,4854,4285
2020-12-28,4861,4288
2020-12-29,4920,4340
2020-12-30,4984,4394
2020-12-31,5032,4437
2021-1-1,5081,4478
2021-1-2,5117,4509
2021-1-3,5124,4516
2021-1-4,5132,4522
2021-1-5,5191,4572
2021-1-6,5226,4604
2021-1-7,5275,4646
2021-1-8,5312,4681
2021-1-9,5381,4748
2021-1-10,5383,4749
2021-1-11,5393,4758
2021-1-12,5477,4833
2021-1-13,5552,4892
2021-1-14,5626,4952
2021-1-15,5656,4982
2021-1-16,5706,5016
2021-1-17,5729,5037
2021-1-18,5739,5042
2021-1-19,5798,5084
2021-1-20,5861,5137
2021-1-21,5940,5211
2021-1-22,6002,5269
2021-1-23,6079,5334
2021-1-24,6078,5361
2021-1-25,6081,5363
2021-1-26,6174,5442
2021-1-27,6228,5489
2021-1-28,6308,5566
2021-1-29,6379,5606
2021-1-30,6449,5646
2021-1-31,6464,5657
2021-2-1,6474,5666
2021-2-2,6517,5684
2021-2-3,6575,5712
2021-2-4,6650,5755
2021-2-5,6732,5816
2021-2-6,6773,5835
2021-2-7,6778,5840
2021-2-8,6820,5874
2021-2-9,6898,5932
2021-2-10,6932,5951
2021-2-11,6958,5978
2021-2-12,6966,5988
2021-2-13,6996,6010
2021-2-14,7012,6024
2021-2-15,7016,6028
2021-2-16,7037,6047
2021-2-17,7075,6080
2021-2-18,7090,6096
2021-2-19,7098,6107
2021-2-20,7197,6198
2021-2-21,7331,6320
2021-2-22,7486,6445
2021-2-23,7658,6590
2021-2-24,7807,6712
2021-2-25,7963,6848
2021-2-26,8197,7037
2021-2-27,8382,7189
2021-2-28,8552,7334
2021-3-1,8783,7530
2021-3-2,8943,7674
2021-3-3,9326,7993
2021-3-4,9357,8018
2021-3-5,9428,8049
2021-3-6,9519,8090
2021-3-7,9596,8104
